"Year","State","State ANSI","ORGANIC","Category","Chemical_Genre","Amount","Value"
2023,"CALIFORNIA","06",NA,"APPLICATIONS, MEASURED IN LB","FUNGICIDE","(OXATHIAPIPROLIN = 128111)",NA
2023,"CALIFORNIA","06",NA,"APPLICATIONS, MEASURED IN LB","INSECTICIDE","(CYCLANILIPROLE = 26202)",NA
2023,"CALIFORNIA","06",NA,"APPLICATIONS, MEASURED IN LB","INSECTICIDE","(PERMETHRIN = 109701)",NA
2023,"CALIFORNIA","06",NA,"APPLICATIONS, MEASURED IN LB","OTHER","(ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",NA
2023,"CALIFORNIA","06",NA,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","FUNGICIDE","(OXATHIAPIPROLIN = 128111)",NA
2023,"CALIFORNIA","06",NA,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","INSECTICIDE","(CYCLANILIPROLE = 26202)",NA
2023,"CALIFORNIA","06",NA,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","INSECTICIDE","(PERMETHRIN = 109701)",NA
2023,"CALIFORNIA","06",NA,"APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","OTHER","(ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",NA
2023,"CALIFORNIA","06",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","FUNGICIDE","(OXATHIAPIPROLIN = 128111)",NA
2023,"CALIFORNIA","06",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","INSECTICIDE","(CYCLANILIPROLE = 26202)",NA
2023,"CALIFORNIA","06",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","INSECTICIDE","(PERMETHRIN = 109701)",NA
2023,"CALIFORNIA","06",NA,"APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","OTHER","(ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",NA
2023,"CALIFORNIA","06",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","FUNGICIDE","(OXATHIAPIPROLIN = 128111)",NA
2023,"CALIFORNIA","06",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","INSECTICIDE","(CYCLANILIPROLE = 26202)",NA
2023,"CALIFORNIA","06",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","INSECTICIDE","(PERMETHRIN = 109701)",NA
2023,"CALIFORNIA","06",NA,"APPLICATIONS, MEASURED IN NUMBER, AVG","OTHER","(ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",NA
2023,"CALIFORNIA","06",NA,"TREATED, MEASURED IN PCT OF AREA BEARING, AVG","FUNGICIDE","(OXATHIAPIPROLIN = 128111)",NA
2023,"CALIFORNIA","06",NA,"TREATED, MEASURED IN PCT OF AREA BEARING, AVG","INSECTICIDE","(CYCLANILIPROLE = 26202)",NA
2023,"CALIFORNIA","06",NA,"TREATED, MEASURED IN PCT OF AREA BEARING, AVG","INSECTICIDE","(PERMETHRIN = 109701)",NA
2023,"CALIFORNIA","06",NA,"TREATED, MEASURED IN PCT OF AREA BEARING, AVG","OTHER","(ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",NA
2023,"CALIFORNIA","06","BEARING","APPLICATIONS, MEASURED IN LB","FUNGICIDE","(AZOXYSTROBIN = 128810)",3300
2023,"CALIFORNIA","06","BEARING","APPLICATIONS, MEASURED IN LB","FUNGICIDE","(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)",NA
2023,"CALIFORNIA","06","BEARING","APPLICATIONS, MEASURED IN LB","FUNGICIDE","(BACILLUS SUBTILIS = 6479)",NA
2023,"CALIFORNIA","06","BEARING","APPLICATIONS, MEASURED IN LB","FUNGICIDE","(BLAD = 30006)",NA
2023,"CALIFORNIA","06","BEARING","APPLICATIONS, MEASURED IN LB","FUNGICIDE","(BORAX DECAHYDRATE = 11102)",2800
2023,"CALIFORNIA","06","BEARING","APPLICATIONS, MEASURED IN LB","FUNGICIDE","(BOSCALID = 128008)",6600
2023,"CALIFORNIA","06","BEARING","APPLICATIONS, MEASURED IN LB","FUNGICIDE","(BT SUBSP KURSTAKI EVB-113-19 = 6544)",NA
2023,"CALIFORNIA","06","BEARING","APPLICATIONS, MEASURED IN LB","FUNGICIDE","(CAPTAN = 81301)",603100
2023,"CALIFORNIA","06","BEARING","APPLICATIONS, MEASURED IN LB","FUNGICIDE","(CYFLUFENAMID = 555550)",NA
2023,"CALIFORNIA","06","BEARING","APPLICATIONS, MEASURED IN LB","FUNGICIDE","(CYPRODINIL = 288202)",30300
2023,"CALIFORNIA","06","BEARING","APPLICATIONS, MEASURED IN LB","FUNGICIDE","(DIFENOCONAZOLE = 128847)",NA
2023,"CALIFORNIA","06","BEARING","APPLICATIONS, MEASURED IN LB","FUNGICIDE","(FENHEXAMID = 90209)",8600
2023,"CALIFORNIA","06","BEARING","APPLICATIONS, MEASURED IN LB","FUNGICIDE","(FLUDIOXONIL = 71503)",22400
2023,"CALIFORNIA","06","BEARING","APPLICATIONS, MEASURED IN LB","FUNGICIDE","(FLUOPYRAM = 80302)",14600
2023,"CALIFORNIA","06","BEARING","APPLICATIONS, MEASURED IN LB","FUNGICIDE","(FLUXAPYROXAD = 138009)",7100
2023,"CALIFORNIA","06","BEARING","APPLICATIONS, MEASURED IN LB","FUNGICIDE","(FOSETYL-AL = 123301)",NA
2023,"CALIFORNIA","06","BEARING","APPLICATIONS, MEASURED IN LB","FUNGICIDE","(ISOFETAMID = 270000)",NA
