"Program","Year","Period","Week Ending","State","State ANSI","Fruit","ORGANIC","Organic detail","Category","Chemical","Amount","Value","CV (%)"
"CENSUS",2021,"YEAR",NA,"MAINE","23","STRAWBERRIES","ORGANIC","FRESH MARKET","SALES, MEASURED IN CWT","ORGANIC STATUS","(NOP USDA CERTIFIED)",504,NA
"CENSUS",2021,"YEAR",NA,"MASSACHUSETTS","25","STRAWBERRIES","ORGANIC",NA,"ACRES HARVESTED","ORGANIC STATUS","(NOP USDA CERTIFIED)",9,89.6
"CENSUS",2021,"YEAR",NA,"MASSACHUSETTS","25","STRAWBERRIES","ORGANIC",NA,"SALES, MEASURED IN $","ORGANIC STATUS","(NOP USDA CERTIFIED)",94827,80.1
"CENSUS",2021,"YEAR",NA,"MASSACHUSETTS","25","STRAWBERRIES","ORGANIC",NA,"SALES, MEASURED IN CWT","ORGANIC STATUS","(NOP USDA CERTIFIED)",251,76.5
"CENSUS",2021,"YEAR",NA,"MASSACHUSETTS","25","STRAWBERRIES","ORGANIC","FRESH MARKET","SALES, MEASURED IN $","ORGANIC STATUS","(NOP USDA CERTIFIED)",94827,80.1
"CENSUS",2021,"YEAR",NA,"MASSACHUSETTS","25","STRAWBERRIES","ORGANIC","FRESH MARKET","SALES, MEASURED IN CWT","ORGANIC STATUS","(NOP USDA CERTIFIED)",251,76.5
"CENSUS",2021,"YEAR",NA,"NEW HAMPSHIRE","33","STRAWBERRIES","ORGANIC",NA,"ACRES HARVESTED","ORGANIC STATUS","(NOP USDA CERTIFIED)",6,NA
"CENSUS",2021,"YEAR",NA,"NEW HAMPSHIRE","33","STRAWBERRIES","ORGANIC",NA,"SALES, MEASURED IN $","ORGANIC STATUS","(NOP USDA CERTIFIED)",52665,NA
"CENSUS",2021,"YEAR",NA,"NEW HAMPSHIRE","33","STRAWBERRIES","ORGANIC",NA,"SALES, MEASURED IN CWT","ORGANIC STATUS","(NOP USDA CERTIFIED)",132,NA
"CENSUS",2021,"YEAR",NA,"NEW HAMPSHIRE","33","STRAWBERRIES","ORGANIC","FRESH MARKET","SALES, MEASURED IN $","ORGANIC STATUS","(NOP USDA CERTIFIED)",52665,NA
"CENSUS",2021,"YEAR",NA,"NEW HAMPSHIRE","33","STRAWBERRIES","ORGANIC","FRESH MARKET","SALES, MEASURED IN CWT","ORGANIC STATUS","(NOP USDA CERTIFIED)",132,NA
"CENSUS",2021,"YEAR",NA,"NEW YORK","36","STRAWBERRIES","ORGANIC",NA,"ACRES HARVESTED","ORGANIC STATUS","(NOP USDA CERTIFIED)",38,42.2
"CENSUS",2021,"YEAR",NA,"NEW YORK","36","STRAWBERRIES","ORGANIC",NA,"SALES, MEASURED IN $","ORGANIC STATUS","(NOP USDA CERTIFIED)",633111,44.5
"CENSUS",2021,"YEAR",NA,"NEW YORK","36","STRAWBERRIES","ORGANIC",NA,"SALES, MEASURED IN CWT","ORGANIC STATUS","(NOP USDA CERTIFIED)",1755,32.6
"CENSUS",2021,"YEAR",NA,"NEW YORK","36","STRAWBERRIES","ORGANIC","FRESH MARKET","SALES, MEASURED IN $","ORGANIC STATUS","(NOP USDA CERTIFIED)",NA,NA
"CENSUS",2021,"YEAR",NA,"NEW YORK","36","STRAWBERRIES","ORGANIC","FRESH MARKET","SALES, MEASURED IN CWT","ORGANIC STATUS","(NOP USDA CERTIFIED)",NA,NA
"CENSUS",2021,"YEAR",NA,"NEW YORK","36","STRAWBERRIES","ORGANIC","PROCESSING","OPERATIONS WITH SALES","ORGANIC STATUS","(NOP USDA CERTIFIED)",2,94.9
"CENSUS",2021,"YEAR",NA,"NEW YORK","36","STRAWBERRIES","ORGANIC","PROCESSING","SALES, MEASURED IN $","ORGANIC STATUS","(NOP USDA CERTIFIED)",NA,NA
"CENSUS",2021,"YEAR",NA,"NEW YORK","36","STRAWBERRIES","ORGANIC","PROCESSING","SALES, MEASURED IN CWT","ORGANIC STATUS","(NOP USDA CERTIFIED)",NA,NA
"CENSUS",2021,"YEAR",NA,"RHODE ISLAND","44","STRAWBERRIES","ORGANIC",NA,"ACRES HARVESTED","ORGANIC STATUS","(NOP USDA CERTIFIED)",NA,NA
"CENSUS",2021,"YEAR",NA,"RHODE ISLAND","44","STRAWBERRIES","ORGANIC",NA,"SALES, MEASURED IN $","ORGANIC STATUS","(NOP USDA CERTIFIED)",NA,NA
"CENSUS",2021,"YEAR",NA,"RHODE ISLAND","44","STRAWBERRIES","ORGANIC",NA,"SALES, MEASURED IN CWT","ORGANIC STATUS","(NOP USDA CERTIFIED)",NA,NA
"CENSUS",2021,"YEAR",NA,"RHODE ISLAND","44","STRAWBERRIES","ORGANIC","FRESH MARKET","SALES, MEASURED IN $","ORGANIC STATUS","(NOP USDA CERTIFIED)",NA,NA
"CENSUS",2021,"YEAR",NA,"RHODE ISLAND","44","STRAWBERRIES","ORGANIC","FRESH MARKET","SALES, MEASURED IN CWT","ORGANIC STATUS","(NOP USDA CERTIFIED)",NA,NA
"CENSUS",2021,"YEAR",NA,"VERMONT","50","STRAWBERRIES","ORGANIC",NA,"ACRES HARVESTED","ORGANIC STATUS","(NOP USDA CERTIFIED)",33,43.3
"CENSUS",2021,"YEAR",NA,"VERMONT","50","STRAWBERRIES","ORGANIC",NA,"SALES, MEASURED IN $","ORGANIC STATUS","(NOP USDA CERTIFIED)",480304,49.7
"CENSUS",2021,"YEAR",NA,"VERMONT","50","STRAWBERRIES","ORGANIC",NA,"SALES, MEASURED IN CWT","ORGANIC STATUS","(NOP USDA CERTIFIED)",1202,39.1
"CENSUS",2021,"YEAR",NA,"VERMONT","50","STRAWBERRIES","ORGANIC","FRESH MARKET","SALES, MEASURED IN $","ORGANIC STATUS","(NOP USDA CERTIFIED)",480304,49.7
"CENSUS",2021,"YEAR",NA,"VERMONT","50","STRAWBERRIES","ORGANIC","FRESH MARKET","SALES, MEASURED IN CWT","ORGANIC STATUS","(NOP USDA CERTIFIED)",1202,39.1
"SURVEY",2024,"WEEK #24",2024-06-16,"CONNECTICUT","09","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT EXCELLENT","NOT SPECIFIED",NA,45,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"CONNECTICUT","09","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT FAIR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"CONNECTICUT","09","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT GOOD","NOT SPECIFIED",NA,55,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"CONNECTICUT","09","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"CONNECTICUT","09","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT VERY POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"MAINE","23","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT EXCELLENT","NOT SPECIFIED",NA,75,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"MAINE","23","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT FAIR","NOT SPECIFIED",NA,7,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"MAINE","23","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT GOOD","NOT SPECIFIED",NA,18,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"MAINE","23","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"MAINE","23","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT VERY POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"MASSACHUSETTS","25","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT EXCELLENT","NOT SPECIFIED",NA,45,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"MASSACHUSETTS","25","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT FAIR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"MASSACHUSETTS","25","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT GOOD","NOT SPECIFIED",NA,55,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"MASSACHUSETTS","25","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"MASSACHUSETTS","25","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT VERY POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"NEW HAMPSHIRE","33","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT EXCELLENT","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"NEW HAMPSHIRE","33","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT FAIR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"NEW HAMPSHIRE","33","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT GOOD","NOT SPECIFIED",NA,100,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"NEW HAMPSHIRE","33","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"NEW HAMPSHIRE","33","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT VERY POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"RHODE ISLAND","44","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT EXCELLENT","NOT SPECIFIED",NA,45,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"RHODE ISLAND","44","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT FAIR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"RHODE ISLAND","44","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT GOOD","NOT SPECIFIED",NA,55,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"RHODE ISLAND","44","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"RHODE ISLAND","44","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT VERY POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"VERMONT","50","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT EXCELLENT","NOT SPECIFIED",NA,37,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"VERMONT","50","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT FAIR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"VERMONT","50","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT GOOD","NOT SPECIFIED",NA,63,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"VERMONT","50","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #24",2024-06-16,"VERMONT","50","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT VERY POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"CONNECTICUT","09","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT EXCELLENT","NOT SPECIFIED",NA,50,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"CONNECTICUT","09","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT FAIR","NOT SPECIFIED",NA,5,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"CONNECTICUT","09","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT GOOD","NOT SPECIFIED",NA,45,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"CONNECTICUT","09","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"CONNECTICUT","09","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT VERY POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"MAINE","23","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT EXCELLENT","NOT SPECIFIED",NA,55,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"MAINE","23","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT FAIR","NOT SPECIFIED",NA,11,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"MAINE","23","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT GOOD","NOT SPECIFIED",NA,34,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"MAINE","23","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"MAINE","23","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT VERY POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"MASSACHUSETTS","25","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT EXCELLENT","NOT SPECIFIED",NA,50,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"MASSACHUSETTS","25","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT FAIR","NOT SPECIFIED",NA,5,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"MASSACHUSETTS","25","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT GOOD","NOT SPECIFIED",NA,45,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"MASSACHUSETTS","25","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"MASSACHUSETTS","25","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT VERY POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"NEW HAMPSHIRE","33","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT EXCELLENT","NOT SPECIFIED",NA,4,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"NEW HAMPSHIRE","33","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT FAIR","NOT SPECIFIED",NA,4,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"NEW HAMPSHIRE","33","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT GOOD","NOT SPECIFIED",NA,92,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"NEW HAMPSHIRE","33","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"NEW HAMPSHIRE","33","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT VERY POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"RHODE ISLAND","44","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT EXCELLENT","NOT SPECIFIED",NA,50,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"RHODE ISLAND","44","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT FAIR","NOT SPECIFIED",NA,5,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"RHODE ISLAND","44","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT GOOD","NOT SPECIFIED",NA,45,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"RHODE ISLAND","44","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"RHODE ISLAND","44","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT VERY POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"VERMONT","50","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT EXCELLENT","NOT SPECIFIED",NA,100,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"VERMONT","50","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT FAIR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"VERMONT","50","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT GOOD","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"VERMONT","50","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #25",2024-06-23,"VERMONT","50","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT VERY POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"CONNECTICUT","09","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT EXCELLENT","NOT SPECIFIED",NA,51,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"CONNECTICUT","09","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT FAIR","NOT SPECIFIED",NA,4,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"CONNECTICUT","09","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT GOOD","NOT SPECIFIED",NA,45,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"CONNECTICUT","09","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"CONNECTICUT","09","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT VERY POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"MAINE","23","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT EXCELLENT","NOT SPECIFIED",NA,59,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"MAINE","23","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT FAIR","NOT SPECIFIED",NA,10,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"MAINE","23","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT GOOD","NOT SPECIFIED",NA,31,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"MAINE","23","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"MAINE","23","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT VERY POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"MASSACHUSETTS","25","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT EXCELLENT","NOT SPECIFIED",NA,52,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"MASSACHUSETTS","25","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT FAIR","NOT SPECIFIED",NA,3,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"MASSACHUSETTS","25","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT GOOD","NOT SPECIFIED",NA,45,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"MASSACHUSETTS","25","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"MASSACHUSETTS","25","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT VERY POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"NEW HAMPSHIRE","33","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT EXCELLENT","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"NEW HAMPSHIRE","33","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT FAIR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"NEW HAMPSHIRE","33","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT GOOD","NOT SPECIFIED",NA,100,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"NEW HAMPSHIRE","33","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"NEW HAMPSHIRE","33","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT VERY POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"RHODE ISLAND","44","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT EXCELLENT","NOT SPECIFIED",NA,52,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"RHODE ISLAND","44","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT FAIR","NOT SPECIFIED",NA,3,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"RHODE ISLAND","44","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT GOOD","NOT SPECIFIED",NA,45,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"RHODE ISLAND","44","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"RHODE ISLAND","44","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT VERY POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"VERMONT","50","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT EXCELLENT","NOT SPECIFIED",NA,93,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"VERMONT","50","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT FAIR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"VERMONT","50","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT GOOD","NOT SPECIFIED",NA,7,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"VERMONT","50","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #26",2024-06-30,"VERMONT","50","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT VERY POOR","NOT SPECIFIED",NA,0,NA
"SURVEY",2024,"WEEK #27",2024-07-07,"CONNECTICUT","09","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT EXCELLENT","NOT SPECIFIED",NA,50,NA
"SURVEY",2024,"WEEK #27",2024-07-07,"CONNECTICUT","09","STRAWBERRIES",NA,NA,"CONDITION, MEASURED IN PCT FAIR","NOT SPECIFIED",NA,5,NA
